PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Number,Level
316,生存,3,"Nilsson, Miss. Helmina Josefina",female,26,0,0,347470,7.8542,,S,1,women
329,生存,3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31,1,1,363291,20.525,,S,1,women
332,死亡,1,"Partner, Mr. Austen",male,45.5,0,0,113043,28.5,C124,S,1,men
333,死亡,1,"Graham, Mr. George Edward",male,38,0,1,PC 17582,153.4625,C91,S,1,men
337,死亡,1,"Pears, Mr. Thomas Clinton",male,29,1,0,113776,66.6,C2,S,1,men
340,死亡,1,"Blackwell, Mr. Stephen Weart",male,45,0,0,113784,35.5,T,S,1,men
349,生存,3,"Coutts, Master. William Loch ""William""",male,3,1,1,C.A. 37671,15.9,,S,1,children
363,死亡,3,"Barbara, Mrs. (Catherine David)",female,45,0,1,2691,14.4542,,C,1,women
371,生存,1,"Harder, Mr. George Achilles",male,25,1,0,11765,55.4417,E50,C,1,men
374,死亡,1,"Ringhini, Mr. Sante",male,22,0,0,PC 17760,135.6333,,C,1,men
375,死亡,3,"Palsson, Miss. Stina Viola",female,3,3,1,349909,21.075,,S,1,children
377,生存,3,"Landergren, Miss. Aurora Adelia",female,22,0,0,C 7077,7.25,,S,1,women
378,死亡,1,"Widener, Mr. Harry Elkins",male,27,0,2,113503,211.5,C82,C,1,men
382,生存,3,"Nakid, Miss. Maria (""Mary"")",female,1,0,2,2653,15.7417,,C,1,children
387,死亡,3,"Goodwin, Master. Sidney Leonard",male,1,5,2,CA 2144,46.9,,S,1,children
391,生存,1,"Carter, Mr. William Ernest",male,36,1,2,113760,120,B96 B98,S,1,men
395,生存,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24,0,2,PP 9549,16.7,G6,S,1,women
397,死亡,3,"Olsson, Miss. Elina",female,31,0,0,350407,7.8542,,S,1,women
403,死亡,3,"Jussila, Miss. Mari Aina",female,21,1,0,4137,9.825,,S,1,women
405,死亡,3,"Oreskovic, Miss. Marija",female,20,0,0,315096,8.6625,,S,1,women
420,死亡,3,"Van Impe, Miss. Catharina",female,10,0,2,345773,24.15,,S,1,children
424,死亡,3,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28,1,1,347080,14.4,,S,1,women
431,生存,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28,0,0,110564,26.55,C52,S,1,men
437,死亡,3,"Ford, Miss. Doolina Margaret ""Daisy""",female,21,2,2,W./C. 6608,34.375,,S,1,women
448,生存,1,"Seward, Mr. Frederic Kimber",male,34,0,0,113794,26.55,,S,1,men
449,生存,3,"Baclini, Miss. Marie Catherine",female,5,2,1,2666,19.2583,,C,1,children
453,死亡,1,"Foreman, Mr. Benjamin Laventall",male,30,0,0,113051,27.75,C111,C,1,men
454,生存,1,"Goldenberg, Mr. Samuel L",male,49,1,0,17453,89.1042,C92,C,1,men
461,生存,1,"Anderson, Mr. Harry",male,48,0,0,19952,26.55,E12,S,1,men
463,死亡,1,"Gee, Mr. Arthur H",male,47,0,0,111320,38.5,E63,S,1,men
470,生存,3,"Baclini, Miss. Helene Barbara",female,0.75,2,1,2666,19.2583,,C,1,children
475,死亡,3,"Strandberg, Miss. Ida Sofia",female,22,0,0,7553,9.8375,,S,1,women
480,生存,3,"Hirvonen, Miss. Hildur E",female,2,0,1,3101298,12.2875,,S,1,children
481,死亡,3,"Goodwin, Master. Harold Victor",male,9,5,2,CA 2144,46.9,,S,1,children
485,生存,1,"Bishop, Mr. Dickinson H",male,25,1,0,11967,91.0792,B49,C,1,men
490,生存,3,"Coutts, Master. Eden Leslie ""Neville""",male,9,1,1,C.A. 37671,15.9,,S,1,children
502,死亡,3,"Canavan, Miss. Mary",female,21,0,0,364846,7.75,,Q,1,women
504,死亡,3,"Laitinen, Miss. Kristina Sofia",female,37,0,0,4135,9.5875,,S,1,women
506,死亡,1,"Penasco y Castellana, Mr. Victor de Satode",male,18,1,0,PC 17758,108.9,C65,C,1,men
513,生存,1,"McGough, Mr. James Robert",male,36,0,0,PC 17473,26.2875,E25,S,1,men
516,死亡,1,"Walker, Mr. William Anderson",male,47,0,0,36967,34.0208,D46,S,1,men
535,死亡,3,"Cacic, Miss. Marija",female,30,0,0,315084,8.6625,,S,1,women
537,死亡,1,"Butt, Major. Archibald Willingham",male,45,0,0,113050,26.55,B38,S,1,men
542,死亡,3,"Andersson, Miss. Ingeborg Constanzia",female,9,4,2,347082,31.275,,S,1,children
543,死亡,3,"Andersson, Miss. Sigrid Elisabeth",female,11,4,2,347082,31.275,,S,1,children
551,生存,1,"Thayer, Mr. John Borland Jr",male,17,0,2,17421,110.8833,C70,C,1,men
555,生存,3,"Ohman, Miss. Velin",female,22,0,0,347085,7.775,,S,1,women
560,生存,3,"de Messemaeker, Mrs. Guillaume Joseph (Emma)",female,36,1,0,345572,17.4,,S,1,women
568,死亡,3,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",female,29,0,4,349909,21.075,,S,1,women
573,生存,1,"Flynn, Mr. John Irwin (""Irving"")",male,36,0,0,PC 17474,26.3875,E25,S,1,men
584,死亡,1,"Ross, Mr. John Hugo",male,36,0,0,13049,40.125,A10,C,1,men
600,生存,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,49,1,0,PC 17485,56.9292,A20,C,1,men
605,生存,1,"Homer, Mr. Harry (""Mr E Haven"")",male,35,0,0,111426,26.55,,C,1,men
608,生存,1,"Daniel, Mr. Robert Williams",male,27,0,0,113804,30.5,,S,1,men
611,死亡,3,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",female,39,1,5,347082,31.275,,S,1,women
618,死亡,3,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",female,26,1,0,A/5. 3336,16.1,,S,1,women
622,生存,1,"Kimball, Mr. Edwin Nelson Jr",male,42,1,0,11753,52.5542,D19,S,1,men
633,生存,1,"Stahelin-Maeglin, Dr. Max",male,32,0,0,13214,30.5,B50,C,1,men
635,死亡,3,"Skoog, Miss. Mabel",female,9,3,2,347088,27.9,,S,1,children
639,死亡,3,"Panula, Mrs. Juha (Maria Emilia Ojala)",female,41,0,5,3101295,39.6875,,S,1,women
643,死亡,3,"Skoog, Miss. Margit Elizabeth",female,2,3,2,347088,27.9,,S,1,children
645,生存,3,"Baclini, Miss. Eugenie",female,0.75,2,1,2666,19.2583,,C,1,children
646,生存,1,"Harper, Mr. Henry Sleeper",male,48,1,0,PC 17572,76.7292,D33,C,1,men
650,生存,3,"Stanley, Miss. Amy Zillah Elsie",female,23,0,0,CA. 2314,7.55,,S,1,women
655,死亡,3,"Hegarty, Miss. Hanora ""Nora""",female,18,0,0,365226,6.75,,Q,1,women
658,死亡,3,"Bourke, Mrs. John (Catherine)",female,32,1,1,364849,15.5,,Q,1,women
663,死亡,1,"Colley, Mr. Edward Pomeroy",male,47,0,0,5727,25.5875,E58,S,1,men
672,死亡,1,"Davidson, Mr. Thornton",male,31,1,0,F.C. 12750,52,B71,S,1,men
678,生存,3,"Turja, Miss. Anna Sofia",female,18,0,0,4138,9.8417,,S,1,women
679,死亡,3,"Goodwin, Mrs. Frederick (Augusta Tyler)",female,43,1,6,CA 2144,46.9,,S,1,women
680,生存,1,"Cardeza, Mr. Thomas Drake Martinez",male,36,0,1,PC 17755,512.3292,B51 B53 B55,C,1,men
682,生存,1,"Hassab, Mr. Hammad",male,27,0,0,PC 17572,76.7292,D49,C,1,men
691,生存,1,"Dick, Mr. Albert Adrian",male,31,1,0,17474,57,B20,S,1,men
692,生存,3,"Karun, Miss. Manca",female,4,0,1,349256,13.4167,,C,1,children
699,死亡,1,"Thayer, Mr. John Borland",male,49,1,1,17421,110.8833,C68,C,1,men
702,生存,1,"Silverthorne, Mr. Spencer Victor",male,35,0,0,PC 17475,26.2875,E24,S,1,men
703,死亡,3,"Barbara, Miss. Saiide",female,18,0,1,2691,14.4542,,C,1,women
708,生存,1,"Calderhead, Mr. Edward Pennington",male,42,0,0,PC 17476,26.2875,E24,S,1,men
713,生存,1,"Taylor, Mr. Elmer Zebley",male,48,1,0,19996,52,C126,S,1,men
725,生存,1,"Chambers, Mr. Norman Campbell",male,27,1,0,113806,53.1,E8,S,1,men
730,死亡,3,"Ilmakangas, Miss. Pieta Sofia",female,25,1,0,STON/O2. 3101271,7.925,,S,1,women
732,死亡,3,"Hassan, Mr. Houssein G N",male,11,0,0,2699,18.7875,,C,1,children
737,死亡,3,"Ford, Mrs. Edward (Margaret Ann Watson)",female,48,1,3,W./C. 6608,34.375,,S,1,women
738,生存,1,"Lesurer, Mr. Gustave J",male,35,0,0,PC 17755,512.3292,B101,C,1,men
742,死亡,1,"Cavendish, Mr. Tyrell William",male,36,1,0,19877,78.85,C46,S,1,men
749,死亡,1,"Marvin, Mr. Daniel Warner",male,19,1,0,113773,53.1,D30,S,1,men
752,生存,3,"Moor, Master. Meier",male,6,0,1,392096,12.475,E121,S,1,children
768,死亡,3,"Mangan, Miss. Mary",female,30.5,0,0,364850,7.75,,Q,1,women
778,生存,3,"Emanuel, Miss. Virginia Ethel",female,5,0,0,364516,12.475,,S,1,children
781,生存,3,"Ayoub, Miss. Banoura",female,13,0,0,2687,7.2292,,C,1,women
783,死亡,1,"Long, Mr. Milton Clyde",male,29,0,0,113501,30,D6,S,1,men
787,生存,3,"Sjoblom, Miss. Anna Sofia",female,18,0,0,3101265,7.4958,,S,1,women
788,死亡,3,"Rice, Master. George Hugh",male,8,4,1,382652,29.125,,Q,1,children
789,生存,3,"Dean, Master. Bertram Vere",male,1,1,2,C.A. 2315,20.575,,S,1,children
790,死亡,1,"Guggenheim, Mr. Benjamin",male,46,0,0,PC 17593,79.2,B82 B84,C,1,men
798,生存,3,"Osman, Mrs. Mara",female,31,0,0,349244,8.6833,,S,1,women
800,死亡,3,"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",female,30,1,1,345773,24.15,,S,1,women
804,生存,3,"Thomas, Master. Assad Alexander",male,0.42,0,1,2625,8.5167,,C,1,children
807,死亡,1,"Andrews, Mr. Thomas Jr",male,39,0,0,112050,0,A36,S,1,men
808,死亡,3,"Pettersson, Miss. Ellen Natalia",female,18,0,0,347087,7.775,,S,1,women
814,死亡,3,"Andersson, Miss. Ebba Iris Alfrida",female,6,4,2,347082,31.275,,S,1,children
817,死亡,3,"Heininen, Miss. Wendla Maria",female,23,0,0,STON/O2. 3101290,7.925,,S,1,women
820,死亡,3,"Skoog, Master. Karl Thorsten",male,10,3,2,347088,27.9,,S,1,children
823,死亡,1,"Reuchlin, Jonkheer. John George",male,38,0,0,19972,0,,S,1,men
824,生存,3,"Moor, Mrs. (Beila)",female,27,0,1,392096,12.475,E121,S,1,women
825,死亡,3,"Panula, Master. Urho Abraham",male,2,4,1,3101295,39.6875,,S,1,children
831,生存,3,"Yasbeck, Mrs. Antoni (Selini Alexander)",female,15,1,0,2659,14.4542,,C,1,women
851,死亡,3,"Andersson, Master. Sigvard Harald Elias",male,4,4,2,347082,31.275,,S,1,children
853,死亡,3,"Boulos, Miss. Nourelain",female,9,1,1,2678,15.2458,,C,1,children
856,生存,3,"Aks, Mrs. Sam (Leah Rosen)",female,18,0,1,392091,9.35,,S,1,women
859,生存,3,"Baclini, Mrs. Solomon (Latifa Qurban)",female,24,0,3,2666,19.2583,,C,1,women
868,死亡,1,"Roebling, Mr. Washington Augustus II",male,31,0,0,PC 17590,50.4958,A24,S,1,men
870,生存,3,"Johnson, Master. Harold Theodor",male,4,1,1,347742,11.1333,,S,1,children
873,死亡,1,"Carlsson, Mr. Frans Olof",male,33,0,0,695,5,B51 B53 B55,S,1,men
876,生存,3,"Najib, Miss. Adele Kiamie ""Jane""",female,15,0,0,2667,7.225,,C,1,women
883,死亡,3,"Dahlberg, Miss. Gerda Ulrika",female,22,0,0,7552,10.5167,,S,1,women
886,死亡,3,"Rice, Mrs. William (Margaret Norton)",female,39,0,5,382652,29.125,,Q,1,women
890,生存,1,"Behr, Mr. Karl Howell",male,26,0,0,111369,30,C148,C,1,men
